Category,event,first,second,diff
--------,-----,-----,------,-----
Cycling,Individual Road Race Men,6:23:49,6:23:49,0
Cycling,Individual Road Race Women,3:32:24,3:32:24,0
Canoeing,K1 500m Kayak Singles (Women),1:50.673,1:50.677,0.004
Rowing,Double Sculls Women,7:07.32,7:07.33,0.01
Swimming,50m Freestyle Women,24.06,24.07,0.010000000000001563
Swimming,100m Butterfly Men,50.58,50.59,0.010000000000005116
Swimming,100m Freestyle Women,53.12,53.16,0.03999999999999915
Track & Field,800m Men,1:44.65,1:44.70,0.05
Swimming,400m Freestyle Women,4:03.22,4:03.29,0.07
Track & Field,400m Women,49.62,49.69,0.07000000000000028
Swimming,4x100m Freestyle Relay Men,3:08.24,3:08.32,0.08
Canoeing,K1 500m Kayak Singles (Men),1:37.252,1:37.342,0.09
Canoeing,K2 500m Kayak Pairs (Men),1:28.736,1:28.827,0.091
Track & Field,100m Hurdles Women,12.54,12.64,0.10000000000000142
Swimming,100m Freestyle Men,47.21,47.32,0.10999999999999943
Swimming,200m Individual Medley Women,2:08.45,2:08.59,0.14
Swimming,50m Freestyle Men,21.30,21.45,0.14999999999999858
Swimming,200m Freestyle Women,1:54.82,1:54.97,0.15
Track & Field,3000m Steeplechase Men,8:10.34,8:10.49,0.15
Track & Field,1500m Men,3:32.94,3:33.11,0.17
Track & Field,200m Women,21.74,21.93,0.19000000000000128
Track & Field,100m Women,10.78,10.98,0.20000000000000107
Track & Field,100m Men,9.69,9.89,0.20000000000000107
Canoeing,C2 1000m Canadian Pairs (Men),3:36.365,3:36.588,0.223
Track & Field,4x100m Relay Women,42.31,42.54,0.22999999999999687
Swimming,100m Backstroke Women,58.96,59.19,0.22999999999999687
Track & Field,110m Hurdles Men,12.93,13.17,0.2400000000000002
Canoeing,C2 500m Canadian Pairs (Men),1:41.025,1:41.282,0.257
Track & Field,4x400m Relay Women,3:18.54,3:18.82,0.28
Swimming,100m Breaststroke Men,58.91,59.20,0.29000000000000625
Swimming,100m Butterfly Women,56.73,57.10,0.37000000000000455
Swimming,200m Backstroke Men,1:53.94,1:54.33,0.39
Cycling,BMX Individual Men,36.19,36.606,0.4160000000000039
Swimming,400m Individual Medley Women,4:29.45,4:29.89,0.44
Rowing,Single Sculls Women,7:22.34,7:22.78,0.44
Cycling,Team sprint Men,43.128,43.651,0.5230000000000032
Swimming,200m Butterfly Women,2:04.18,2:04.72,0.54
Swimming,4x100m Freestyle Relay Women,3:33.76,3:34.33,0.57
